"Term,Field,Related_Term,Related_Field,Definition,Category,Notes",Term,Field,Definition,Category,Related_Term,Related_Field,Notes
,Accuracy,Computer Science,The proportion of correct predictions made by a model.,Model Evaluation,R²,Economics,
,Accuracy,Computer Science,The proportion of correct predictions made by a model.,Model Evaluation,Sensitivity/Specificity,Health Science,
,Arima,All,Autoregressive Integrated Moving Average model for analyzing and forecasting time series data.,Longitudinal / Time Series,Forecasting Models,All,
,Attribute,Computer Science,"Another term for feature, often used in data mining.",Input Variable,Predictor,Health Science,
,Attribute,Computer Science,"Another term for feature, often used in data mining.",Input Variable,Regressor,Economics,
,Backward Elimination,Health Science,Removing predictors from a model sequentially based on least contribution.,Overfitting / Model Selection,Feature Selection,Computer Science,
,Backward Elimination,Health Science,Removing predictors from a model sequentially based on least contribution.,Overfitting / Model Selection,Model Specification,Economics,
,Beta Weight,Health Science,A standardized coefficient showing the relative importance of a predictor.,Model Component,Coefficient,All,
,Beta Weight,Health Science,A standardized coefficient showing the relative importance of a predictor.,Model Component,Weight,Computer Science,
,Bias,Computer Science,A parameter in neural networks or models representing the baseline contribution to output.,Model Component,Intercept,All,
,Causal Inference,All,Methods to estimate the effect of one variable on another while accounting for confounding.,Causality / Confounding,Do-Calculus,Computer Science,
,Causal Inference,All,Methods to estimate the effect of one variable on another while accounting for confounding.,Causality / Confounding,Structural Causal Models,Economics,
,Coefficients,All,Numeric values that quantify the effect of an input variable on the output.,Model Component,Parameters,Computer Science/Economics,
,Coefficients,All,Numeric values that quantify the effect of an input variable on the output.,Model Component,Weights,Computer Science,
,Cohort Study,Health Science,A study following a group of individuals over time to observe outcomes.,Longitudinal / Time Series,Panel Data,Economics,
,Cohort Study,Health Science,A study following a group of individuals over time to observe outcomes.,Longitudinal / Time Series,Sequence Modeling,Computer Science,
,Confounding / Bias,All,A distortion in estimating the effect of a predictor due to correlation with other variables.,Causality / Confounding,Endogeneity,Economics,
,Confounding / Bias,All,A distortion in estimating the effect of a predictor due to correlation with other variables.,Causality / Confounding,Spurious Correlation,Computer Science,
,Confounding Variable,Health Science,A variable associated with both the predictor and outcome that can bias results.,Causality / Confounding,Endogenous Variable,Economics,
,Confounding Variable,Health Science,A variable associated with both the predictor and outcome that can bias results.,Causality / Confounding,Spurious Correlation,Computer Science,
,Covariate,Health Science,A variable included in a model to adjust or control for potential confounding or variation.,Input Variable,Feature,Computer Science,
,Covariate,Health Science,A variable included in a model to adjust or control for potential confounding or variation.,Input Variable,Regressor,Economics,
,Cross-Sectional Time Series,Economics,Data combining multiple entities observed over multiple time periods.,Longitudinal / Time Series,Panel Data,Economics,
,Cross-Sectional Time Series,Economics,Data combining multiple entities observed over multiple time periods.,Longitudinal / Time Series,Time Series,Computer Science,
,Cross-Validation,All,A method to assess model performance by testing it on data not used for training.,Model Evaluation,Hold-Out Sample,Health Science,
,Cross-Validation,All,A method to assess model performance by testing it on data not used for training.,Model Evaluation,Out-Of-Sample Testing,Economics,
,Decision Tree,Computer Science,A tree-based model that splits data based on feature thresholds to predict outcomes.,Methods / Models,Cart,Computer Science,
,Decision Tree,Computer Science,A tree-based model that splits data based on feature thresholds to predict outcomes.,Methods / Models,Random Forest,Computer Science,
,Dependent Variable,All,The variable that the model aims to explain or predict.,Output Variable,Explained Variable,Economics,
,Dependent Variable,All,The variable that the model aims to explain or predict.,Output Variable,Outcome,Health Science,
,Dependent Variable,All,The variable that the model aims to explain or predict.,Output Variable,Target,Computer Science,
